movieId,poster
42,"https://m.media-amazon.com/images/M/MV5BYjgwMjI3YzktNGZlNC00NmFlLWE0MzUtOGFjN2I3MmNiMjUzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
43,"https://m.media-amazon.com/images/M/MV5BNmY5MmI4MzEtOWUwNS00MzI0LWI2MzAtYjY2YTc3ZGRkNWMwXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
44,"https://m.media-amazon.com/images/M/MV5BZjViODAyMjktNTRkOC00NDk1LTllZWUtOWM4ZjY3ZDBhODNkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
45,"https://m.media-amazon.com/images/M/MV5BNzBjZjI4YjYtNGIyOC00ZDQyLTg0OTctN2U2YmUyMjJiZTQzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
46,"https://m.media-amazon.com/images/M/MV5BZWM2N2MzMGMtNzNkNi00OTc2LTg5NDQtNWViNTA2MGIwNmFhXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
47,"https://m.media-amazon.com/images/M/MV5BYTU4MDhhNDAtNDNhOS00ZjRiLTk4OTQtOWQwNTkwN2I2MGNlXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
48,"https://m.media-amazon.com/images/M/MV5BYWExYWNmNzQtODQwNS00OTcxLTk4NDMtYjBhNDQ0ZDJjZWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR147,0,182,268_AL_.jpg"
49,"https://m.media-amazon.com/images/M/MV5BNjQ0YzQwYjctMTljYi00MzhmLTliMGUtMTY2NzE3MjgzYzYzXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR147,0,182,268_AL_.jpg"
50,"https://m.media-amazon.com/images/M/MV5BYjBjMDRjYmEtODFiNy00NjJhLTk0ZjktMDQ3NmVkNDRmMzc2XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
52,"https://m.media-amazon.com/images/M/MV5BMzAwYjlhYWEtNjcwOC00MmE4LWE4ZTAtZGVmMjNmOWMwYmYxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR106,0,182,268_AL_.jpg"
53,
